Date,HomeTeam,AwayTeam,FTR,elo_diff,venue_elo_diff,elo_gap,season_pts_diff,home_quality_form,away_quality_form,home_avg_goal_diff,away_avg_goal_diff,home_avg_goals_conceded,away_avg_goals_conceded,real_xg_diff,xga_diff,sot_diff,home_venue_form,away_venue_form,home_venue_conceded,away_venue_conceded,h2h_home_win_rate,h2h_draw_rate,rest_diff,streak_diff,home_draw_rate_w10,away_draw_rate_w10,combined_clean_sheet,combined_low_scoring_run,combined_avg_scored,month_sin,month_cos,us_forecast_w,us_forecast_d,us_forecast_l,b365_prob_h,b365_prob_d,b365_prob_a,b365_draw_indicator,odds_move_h,odds_move_d,odds_move_a
2018-08-18,Leicester,Wolves,H,-10.0,0.0,10.0,-1,0.0,1.0,-1.0,0.0,2.0,2.0,0.847092,0.0,0.0,0,0,0.0,0.0,0.5,0.27,1,-1,0.0,1.0,0.0,0.0,3.0,-0.8660254037844385,-0.5000000000000004,0.0571,0.292,0.6509,0.474848674598205,0.2767689417658109,0.2483823836359842,0.00976894176581089,,,
2018-08-18,Chelsea,Arsenal,H,20.0,0.0,20.0,3,3.0,0.0,3.0,-2.0,0.0,2.0,1.869083,0.0,1.0,0,0,0.0,0.0,0.5,0.27,1,2,0.0,0.0,1.0,1.0,3.0,-0.8660254037844385,-0.5000000000000004,0.231,0.2035,0.5655,0.5405405405405406,0.24324324324324326,0.21621621621621623,-0.02375675675675676,,,
2018-08-18,Cardiff,Newcastle,D,0.0,0.0,0.0,0,0.0,0.0,-2.0,-1.0,2.0,2.0,0.5324330000000002,0.0,-1.0,0,0,0.0,0.0,0.5,0.27,0,0,0.0,0.0,0.0,1.0,1.0,-0.8660254037844385,-0.5000000000000004,0.2369,0.2926,0.4705,0.30048847504197834,0.3150282399633644,0.3844832849946573,0.04802823996336436,,,
2018-08-18,Everton,Southampton,H,0.0,0.0,0.0,0,1.0,1.0,0.0,0.0,2.0,0.0,-0.3045580000000001,0.0,2.0,0,0,0.0,0.0,0.5,0.27,1,0,1.0,1.0,1.0,1.0,2.0,-0.8660254037844385,-0.5000000000000004,0.4316,0.2692,0.2992,0.5147058823529411,0.27941176470588236,0.20588235294117646,0.012411764705882344,,,
2018-08-19,Brighton,Man United,H,-20.0,0.0,20.0,-3,0.0,3.0,-2.0,1.0,2.0,1.0,-1.0586600000000002,0.0,-6.0,0,0,0.0,0.0,0.5,0.27,-1,-2,0.0,0.0,0.0,1.0,2.0,-0.8660254037844385,-0.5000000000000004,0.3538,0.3473,0.2989,0.17634709587123865,0.2694191742477257,0.5542337298810357,0.0024191742477256972,,,
2018-08-19,Burnley,Watford,A,-10.0,0.0,10.0,-2,1.0,3.0,0.0,2.0,0.0,0.0,-0.015450000000000186,0.0,1.0,0,0,0.0,0.0,0.5,0.27,-1,-1,1.0,0.0,2.0,2.0,2.0,-0.8660254037844385,-0.5000000000000004,0.03,0.123,0.847,0.3982618552805592,0.3147553372378613,0.28698280748157945,0.047755337237861295,,,
2018-08-19,Man City,Huddersfield,H,20.0,0.0,20.0,3,3.0,0.0,2.0,-3.0,0.0,3.0,1.6216849999999998,0.0,7.0,0,0,0.0,0.0,0.5,0.27,-1,2,0.0,0.0,1.0,1.0,2.0,-0.8660254037844385,-0.5000000000000004,0.9792,0.0183,0.0025,0.887372013651877,0.0750853242320819,0.03754266211604095,-0.1919146757679181,,,
2018-08-20,Crystal Palace,Liverpool,A,0.0,0.0,0.0,0,3.0,3.0,2.0,4.0,0.0,0.0,-3.2660500000000003,0.0,1.0,0,0,0.0,0.0,0.5,0.27,1,0,0.0,0.0,2.0,1.0,6.0,-0.8660254037844385,-0.5000000000000004,0.0111,0.0563,0.9326,0.13771996939556236,0.19280795715378735,0.6694720734506504,-0.07419204284621267,,,
2018-08-25,Southampton,Leicester,A,-10.287743683320059,8.0,10.287743683320059,-2,1.0,3.0,-0.5,0.5,1.0,1.0,0.4168384999999999,0.0,0.5,1,0,0.0,2.0,0.5,0.27,0,-2,0.5,0.0,1.0,1.0,2.0,-0.8660254037844385,-0.5000000000000004,0.276,0.4481,0.2759,0.39690869191871,0.30388321725026235,0.29920809083102756,0.036883217250262335,,,
2018-08-25,Wolves,Man City,D,-29.712732405474753,-8.0,29.712732405474753,-5,1.0,5.98,-1.0,3.5,2.0,0.5,-2.3184159999999996,0.0,-7.5,1,3,2.0,0.0,0.5,0.27,1,-3,0.5,0.0,0.5,1.0,5.0,-0.8660254037844385,-0.5000000000000004,0.22,0.2638,0.5162,0.088604898828541,0.14994675186368478,0.7614483493077742,-0.11705324813631524,,,
2018-08-25,Liverpool,Brighton,H,19.424988722154694,20.0,19.424988722154694,3,6.02,3.0199999999999996,3.0,-0.5,0.0,2.0,2.5371400000000004,0.0,5.5,3,0,0.0,2.0,0.5,0.27,-1,1,0.0,0.0,1.0,1.0,4.5,-0.8660254037844385,-0.5000000000000004,0.7125,0.2072,0.0803,0.8350568769389864,0.11396070320579109,0.050982419855222325,-0.1530392967942089,,,
2018-08-25,Bournemouth,Everton,D,9.424988722154694,12.0,9.424988722154694,2,5.98,4.0,1.5,0.5,0.5,1.5,0.7777840000000005,0.0,-1.5,3,1,0.0,2.0,0.5,0.27,0,1,0.0,0.5,0.5,0.5,4.0,-0.8660254037844385,-0.5000000000000004,0.876,0.0937,0.0303,0.37306402381580434,0.27150770622150205,0.3554282699626936,0.004507706221502039,,,
2018-08-25,Arsenal,West Ham,H,0.0,-4.0,0.0,0,0.0,0.0,-1.5,-2.5,2.5,3.0,0.698082,0.0,1.0,0,0,2.0,4.0,0.5,0.27,0,0,0.0,0.0,0.0,0.5,1.5,-0.8660254037844385,-0.5000000000000004,0.5255,0.2474,0.2271,0.7151112395261485,0.17682750650101128,0.10806125397284022,-0.09017249349898873,,,
2018-08-25,Huddersfield,Cardiff,D,-9.424988722154694,-4.0,9.424988722154694,-1,0.0,0.9933333333333333,-4.0,-1.0,4.5,1.0,-0.801147,0.0,0.0,0,0,3.0,2.0,0.5,0.27,-1,-2,0.0,0.5,0.5,1.0,0.5,-0.8660254037844385,-0.5000000000000004,0.0611,0.3185,0.6204,0.4114311130879573,0.3250305793394863,0.2635383075725565,0.0580305793394863,,,
2018-08-26,Fulham,Burnley,H,-9.712732405474753,-12.0,9.712732405474753,-1,0.0,1.0,-2.0,-1.0,2.5,1.5,0.13984700000000005,0.0,0.0,0,1,2.0,0.0,0.5,0.27,1,-1,0.0,0.5,0.5,1.0,1.0,-0.8660254037844385,-0.5000000000000004,0.4467,0.2621,0.2912,0.4877741700351202,0.2869259823736001,0.22529984759127952,0.019925982373600104,,,
2018-08-26,Newcastle,Chelsea,A,-29.424988722154694,-20.0,29.424988722154694,-5,0.9933333333333333,5.98,-0.5,2.0,1.0,1.0,-0.7518565000000001,0.0,-3.5,0,3,2.0,0.0,0.5,0.27,0,-2,0.5,0.0,1.0,0.5,3.5,-0.8660254037844385,-0.5000000000000004,0.0288,0.176,0.7952,0.169452596656884,0.24358810769427075,0.5869592956488452,-0.023411892305729265,,,
2018-08-26,Watford,Crystal Palace,H,19.71225631667994,4.0,19.71225631667994,3,6.0,3.0,2.0,0.0,0.5,1.0,0.9470259999999999,0.0,0.0,3,3,0.0,0.0,0.5,0.27,1,3,0.0,0.0,1.0,1.5,3.5,-0.8660254037844385,-0.5000000000000004,0.3208,0.3146,0.3646,0.375,0.30000000000000004,0.325,0.03300000000000003,,,
2018-08-27,Man United,Tottenham,A,-20.0,4.0,20.0,-3,3.0,5.98,0.0,1.5,2.0,1.0,-1.3843050000000003,0.0,-3.5,3,3,1.0,1.0,0.5,0.27,-1,-3,0.0,0.0,0.0,0.0,4.5,-0.8660254037844385,-0.5000000000000004,0.269,0.2436,0.4874,0.37072906174943826,0.2943364066010692,0.33493453164949255,0.027336406601069174,,,
2018-09-01,Everton,Huddersfield,D,29.424988722154694,20.0,29.424988722154694,4,5.0129499924814365,0.9933333333333333,0.3333333333333333,-2.6666666666666665,1.6666666666666667,3.0,0.6719293333333332,0.0,4.0,3,0,1.0,6.0,0.5,0.27,0,0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,2.3333333333333335,-1.0,-1.8369701987210297e-16,0.272,0.4062,0.3218,0.6376389141920205,0.23228274731280743,0.13007833849517217,-0.034717252687192585,,,
2018-09-01,Brighton,Fulham,D,0.27903218067126545,20.0,0.27903218067126545,0,3.0199999999999996,2.98057548736664,-0.6666666666666666,-0.6666666666666666,1.6666666666666667,2.3333333333333335,-0.4592733333333333,0.0,-5.333333333333333,3,0,2.0,3.0,0.5,0.27,1,-2,0.0,0.0,0.0,1.0,2.666666666666667,-1.0,-1.8369701987210297e-16,0.6739,0.1942,0.1319,0.425,0.2875,0.2875,0.020499999999999963,,,
2018-09-01,Chelsea,Bournemouth,H,9.42630631665702,4.0,9.42630631665702,2,8.96,6.986666666666666,1.6666666666666667,1.0,1.0,1.0,-0.45024666666666646,0.0,1.333333333333333,3,3,2.0,1.0,0.5,0.27,-1,3,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,4.666666666666666,-1.0,-1.8369701987210297e-16,0.387,0.3123,0.3007,0.7491486946651532,0.1623155505107832,0.08853575482406358,-0.10468444948921682,,,
