,team,elo,from,to,league
85,Tottenham,1839.69018555,2021-08-22,2021-08-22,ENG-Premier League
86,West Ham,1819.10351562,2021-08-20,2021-08-22,ENG-Premier League
87,Leicester,1806.80700684,2021-08-21,2021-08-23,ENG-Premier League
88,Everton,1778.74182129,2021-08-22,2021-08-26,ENG-Premier League
89,Leeds,1774.12207031,2021-08-22,2021-08-26,ENG-Premier League
90,Aston Villa,1746.45544434,2021-08-22,2021-08-22,ENG-Premier League
91,Brighton,1737.71691895,2021-08-22,2021-08-26,ENG-Premier League
92,Wolves,1731.72937012,2021-08-22,2021-08-22,ENG-Premier League
93,Newcastle,1705.10803223,2021-08-22,2021-08-22,ENG-Premier League
94,Burnley,1696.23657227,2021-08-22,2021-08-22,ENG-Premier League
95,Southampton,1691.75891113,2021-08-22,2021-08-22,ENG-Premier League
96,Brentford,1689.01513672,2021-08-22,2021-08-26,ENG-Premier League
97,Crystal Palace,1687.11584473,2021-08-22,2021-08-22,ENG-Premier League
98,Watford,1672.63305664,2021-08-22,2021-08-26,ENG-Premier League
99,Norwich,1646.68640137,2021-08-22,2021-08-25,ENG-Premier League
100,Man City,2003.06005859,2021-08-22,2021-08-26,ENG-Premier League
101,Liverpool,1947.29626465,2021-08-22,2021-08-26,ENG-Premier League
102,Chelsea,1936.3112793,2021-08-23,2021-08-26,ENG-Premier League
103,Man United,1927.51220703,2021-08-23,2021-08-26,ENG-Premier League
104,Tottenham,1845.47619629,2021-08-23,2021-08-26,ENG-Premier League
105,Arsenal,1838.91650391,2021-08-23,2021-08-26,ENG-Premier League
106,West Ham,1819.10351562,2021-08-23,2021-08-23,ENG-Premier League
107,Leicester,1806.80700684,2021-08-21,2021-08-23,ENG-Premier League
108,Everton,1778.74182129,2021-08-22,2021-08-26,ENG-Premier League
109,Leeds,1774.12207031,2021-08-22,2021-08-26,ENG-Premier League
110,Aston Villa,1746.45544434,2021-08-23,2021-08-26,ENG-Premier League
111,Brighton,1737.71691895,2021-08-22,2021-08-26,ENG-Premier League
112,Wolves,1725.9432373,2021-08-23,2021-08-26,ENG-Premier League
113,Newcastle,1705.10803223,2021-08-23,2021-08-26,ENG-Premier League
114,Southampton,1697.37573242,2021-08-23,2021-08-24,ENG-Premier League
115,Burnley,1696.23657227,2021-08-23,2021-08-26,ENG-Premier League
116,Brentford,1689.01513672,2021-08-22,2021-08-26,ENG-Premier League
117,Crystal Palace,1687.11584473,2021-08-23,2021-08-26,ENG-Premier League
118,Watford,1672.63305664,2021-08-22,2021-08-26,ENG-Premier League
119,Norwich,1646.68640137,2021-08-22,2021-08-25,ENG-Premier League
120,Man City,2004.32531738,2021-08-27,2021-08-28,ENG-Premier League
121,Liverpool,1948.56152344,2021-08-27,2021-08-28,ENG-Premier League
122,Chelsea,1937.57653809,2021-08-27,2021-08-28,ENG-Premier League
123,Man United,1928.77746582,2021-08-27,2021-08-29,ENG-Premier League
124,Tottenham,1850.74133301,2021-08-27,2021-08-28,ENG-Premier League
125,Arsenal,1840.1817627,2021-08-27,2021-08-28,ENG-Premier League
126,West Ham,1832.52966309,2021-08-27,2021-08-28,ENG-Premier League
127,Leicester,1795.91125488,2021-08-27,2021-08-28,ENG-Premier League
128,Everton,1780.00695801,2021-08-27,2021-08-28,ENG-Premier League
129,Leeds,1775.3873291,2021-08-27,2021-08-29,ENG-Premier League
130,Aston Villa,1747.72070312,2021-08-27,2021-08-28,ENG-Premier League
131,Brighton,1738.98205566,2021-08-27,2021-08-28,ENG-Premier League
132,Wolves,1727.20849609,2021-08-27,2021-08-29,ENG-Premier League
133,Newcastle,1706.37316895,2021-08-27,2021-08-28,ENG-Premier League
134,Southampton,1698.64099121,2021-08-27,2021-08-28,ENG-Premier League
135,Burnley,1697.50183105,2021-08-27,2021-08-28,ENG-Premier League
136,Brentford,1690.28027344,2021-08-27,2021-08-28,ENG-Premier League
137,Crystal Palace,1688.38110352,2021-08-27,2021-08-28,ENG-Premier League
138,Watford,1673.89819336,2021-08-27,2021-08-29,ENG-Premier League
139,Norwich,1647.95153809,2021-08-28,2021-08-28,ENG-Premier League
140,Man City,2012.69165039,2021-08-29,2021-09-11,ENG-Premier League
141,Liverpool,1947.64782715,2021-08-29,2021-09-12,ENG-Premier League
142,Chelsea,1938.4901123,2021-08-29,2021-09-11,ENG-Premier League
143,Man United,1928.77746582,2021-08-27,2021-08-29,ENG-Premier League
144,Tottenham,1850.74133301,2021-08-29,2021-08-29,ENG-Premier League
145,Arsenal,1831.81542969,2021-08-29,2021-09-11,ENG-Premier League
146,West Ham,1828.10827637,2021-08-29,2021-09-11,ENG-Premier League
147,Leicester,1800.70446777,2021-08-29,2021-09-11,ENG-Premier League
148,Everton,1790.84277344,2021-08-29,2021-09-13,ENG-Premier League
149,Leeds,1775.3873291,2021-08-27,2021-08-29,ENG-Premier League
150,Aston Villa,1745.50476074,2021-08-29,2021-09-11,ENG-Premier League
151,Brighton,1728.14624023,2021-08-29,2021-09-11,ENG-Premier League
152,Wolves,1727.20849609,2021-08-27,2021-08-29,ENG-Premier League
153,Newcastle,1705.55249023,2021-08-29,2021-09-11,ENG-Premier League
154,Southampton,1699.46166992,2021-08-29,2021-09-11,ENG-Premier League
155,Burnley,1697.50183105,2021-08-29,2021-08-29,ENG-Premier League
156,Crystal Palace,1692.80249023,2021-08-29,2021-09-11,ENG-Premier League
157,Brentford,1692.49621582,2021-08-29,2021-09-11,ENG-Premier League
158,Watford,1673.89819336,2021-08-27,2021-08-29,ENG-Premier League
159,Norwich,1643.1583252,2021-08-29,2021-08-29,ENG-Premier League
160,Man City,2012.69165039,2021-08-29,2021-09-11,ENG-Premier League
161,Liverpool,1947.64782715,2021-08-29,2021-09-12,ENG-Premier League
162,Chelsea,1938.4901123,2021-08-29,2021-09-11,ENG-Premier League
163,Man United,1932.66455078,2021-08-30,2021-09-11,ENG-Premier League
164,Tottenham,1854.27062988,2021-08-30,2021-09-11,ENG-Premier League
165,Arsenal,1831.81542969,2021-08-29,2021-09-11,ENG-Premier League
166,West Ham,1828.10827637,2021-08-29,2021-09-11,ENG-Premier League
167,Leicester,1800.70446777,2021-08-29,2021-09-11,ENG-Premier League
168,Everton,1790.84277344,2021-08-29,2021-09-13,ENG-Premier League
169,Leeds,1773.81274414,2021-08-30,2021-09-11,ENG-Premier League
170,Aston Villa,1745.50476074,2021-08-29,2021-09-11,ENG-Premier League
171,Brighton,1728.14624023,2021-08-29,2021-09-11,ENG-Premier League
172,Wolves,1723.32141113,2021-09-11,2021-09-11,ENG-Premier League
173,Newcastle,1705.55249023,2021-08-29,2021-09-11,ENG-Premier League
174,Southampton,1699.46166992,2021-08-29,2021-09-11,ENG-Premier League
175,Burnley,1699.07641602,2021-08-30,2021-09-11,ENG-Premier League
176,Crystal Palace,1692.80249023,2021-08-29,2021-09-11,ENG-Premier League
177,Brentford,1692.49621582,2021-08-29,2021-09-11,ENG-Premier League
178,Watford,1670.36889648,2021-08-30,2021-09-11,ENG-Premier League
179,Norwich,1643.1583252,2021-08-30,2021-09-11,ENG-Premier League
180,Man City,2016.2989502,2021-09-12,2021-09-14,ENG-Premier League
181,Liverpool,1947.64782715,2021-08-29,2021-09-12,ENG-Premier League
182,Chelsea,1944.11047363,2021-09-12,2021-09-12,ENG-Premier League
